0x800000 sub_800000
0x800001 sub_800001
0x800010 sub_800010
0x800090 FFX_Magic_ProcessPendingQueue_structural
0x8001e0 sub_8001E0
0x800250 sub_800250
0x8002b0 sub_8002B0
0x800360 sub_800360
0x8004a0 sub_8004A0
0x800510 sub_800510
0x800520 sub_800520
0x800530 FFX_Magic_RunPhase0Wrapper_structural
0x800590 FFX_Magic_RunPhase1Wrapper_structural
0x800610 sub_800610
0x800620 sub_800620
0x800690 sub_800690
0x8007d0 sub_8007D0
0x800880 sub_800880
0x800890 sub_800890
0x8008e0 sub_8008E0
0x800950 FFX_Magic_RunPhase2Wrapper_structural
0x8009d0 sub_8009D0
0x800a10 sub_800A10
0x800a60 sub_800A60
0x800a90 sub_800A90
0x800ad0 sub_800AD0
0x800b00 sub_800B00
0x800b30 sub_800B30
0x800bb0 sub_800BB0
0x800bf0 sub_800BF0
0x800c30 sub_800C30
0x800c80 sub_800C80
0x800cc0 sub_800CC0
0x800d10 sub_800D10
0x800d40 sub_800D40
0x800d70 sub_800D70
0x800da0 sub_800DA0
0x800dd0 sub_800DD0
0x800e80 sub_800E80
0x800ef0 sub_800EF0
0x800f20 sub_800F20
0x800f50 sub_800F50
0x800f80 sub_800F80
0x801120 sub_801120
0x8013a0 sub_8013A0
0x8013e0 sub_8013E0
0x801620 sub_801620
0x8016a0 sub_8016A0
0x8016f0 sub_8016F0
0x801970 sub_801970
0x8019d0 sub_8019D0
0x801c20 FFX_MagicCoreOp_FF_MatrixComposeToRecord
0x801dc0 sub_801DC0
0x801e20 sub_801E20
0x801fc0 sub_801FC0
0x802270 sub_802270
0x802370 sub_802370
0x802af0 sub_802AF0
0x802d40 sub_802D40
0x802ed0 FFX_MagicCoreOp_ResolveChrMeshTexturePath
0x803120 sub_803120
0x803140 sub_803140
0x803280 sub_803280
0x8033d0 sub_8033D0
0x803530 sub_803530
0x803650 sub_803650
0x8036e0 sub_8036E0
0x8037a0 sub_8037A0
0x803860 sub_803860
0x803b20 sub_803B20
0x804070 sub_804070
0x8040e0 sub_8040E0
0x804190 sub_804190
0x804400 sub_804400
0x8046d0 FFX_MagicCoreOp_41_RuntimeAssetBind
0x804760 sub_804760
0x804a90 FFX_MagicCoreOp_D3_OpuModeSwitch
0x804bb0 sub_804BB0
0x8052c0 sub_8052C0
0x805320 sub_805320
0x805350 sub_805350
0x8053f0 sub_8053F0
0x805430 sub_805430
0x8058e0 sub_8058E0
0x8060c0 sub_8060C0
0x8061e0 sub_8061E0
